Sample,Match 1 Reference,Match 1 Confidence,Match 1 Window,Match 2 Reference,Match 2 Confidence,Match 2 Window,Time to Compute (ns)
exp_signal28.csv,ref_signal1.csv,0.4195672456739034,28.0 - 77.0,ref_signal2.csv,0.35178466347114346,50.0 - 99.0,846669
exp_signal6.csv,ref_signal0.csv,0.25249248713683925,16.0 - 65.0,ref_signal3.csv,0.23629393500249907,10.0 - 59.0,735500
exp_signal36.csv,ref_signal3.csv,0.2674550036209685,5.0 - 54.0,ref_signal1.csv,0.2559899715111369,24.0 - 73.0,740249
exp_signal22.csv,ref_signal3.csv,0.29550244483880606,43.0 - 92.0,ref_signal1.csv,0.2434012638537107,8.0 - 57.0,743565
exp_signal19.csv,ref_signal1.csv,0.7238549781051866,34.0 - 83.0,ref_signal0.csv,0.23693413235901672,19.0 - 68.0,748103
exp_signal18.csv,ref_signal3.csv,0.30037153301340624,12.0 - 61.0,ref_signal0.csv,0.2379536104145775,20.0 - 69.0,734878
exp_signal37.csv,ref_signal3.csv,0.4675781037035368,8.0 - 57.0,ref_signal1.csv,0.22438679963311597,4.0 - 53.0,729338
exp_signal15.csv,ref_signal3.csv,0.36438931126740864,8.0 - 57.0,ref_signal0.csv,0.20631377444859547,39.0 - 88.0,745418
exp_signal34.csv,ref_signal1.csv,0.3236306195516351,0.0 - 49.0,ref_signal3.csv,0.24999967580093532,34.0 - 83.0,735951
exp_signal16.csv,ref_signal2.csv,0.660510315881107,43.0 - 92.0,ref_signal0.csv,0.3712076363378696,9.0 - 58.0,732745
exp_signal13.csv,ref_signal3.csv,0.27946840323344607,24.0 - 73.0,ref_signal0.csv,0.23157243599405994,31.0 - 80.0,730620
exp_signal24.csv,ref_signal2.csv,0.4346825550752427,3.0 - 52.0,ref_signal0.csv,0.23768504160768192,48.0 - 97.0,754165
exp_signal27.csv,ref_signal1.csv,0.4899978754577131,16.0 - 65.0,ref_signal3.csv,0.2472033676160019,49.0 - 98.0,739337
exp_signal38.csv,ref_signal2.csv,0.5147204596532702,45.0 - 94.0,ref_signal0.csv,0.457866444479147,10.0 - 59.0,724769
exp_signal2.csv,ref_signal3.csv,0.37226747393655896,36.0 - 85.0,ref_signal1.csv,0.22488616087959734,3.0 - 52.0,735700
exp_signal10.csv,ref_signal1.csv,0.6893226860477136,36.0 - 85.0,ref_signal3.csv,0.2329029733786238,38.0 - 87.0,740129
exp_signal14.csv,ref_signal0.csv,0.5167139873011604,30.0 - 79.0,ref_signal3.csv,0.24122358949545222,22.0 - 71.0,722836
exp_signal7.csv,ref_signal2.csv,0.6073152975651799,44.0 - 93.0,ref_signal0.csv,0.41355213924655365,12.0 - 61.0,743505
exp_signal17.csv,ref_signal1.csv,0.6745481428069008,32.0 - 81.0,ref_signal2.csv,0.2472541293711134,50.0 - 99.0,727705
exp_signal8.csv,ref_signal0.csv,0.5431390368176191,36.0 - 85.0,ref_signal3.csv,0.2563442988885409,29.0 - 78.0,733566
exp_signal31.csv,ref_signal1.csv,0.690901786637351,32.0 - 81.0,ref_signal2.csv,0.25922917341554685,50.0 - 99.0,739156
